Active conda environment: HINT_env             * /home/skpritch/miniconda3/envs/HINT_env
Starting train.py with arguments: base_name=all, lambda=0.7, d=0.0
Protocol embedding file found.
| Uniform Initialization
| Uniform Initialization
| Uniform Initialization
| Uniform Initialization
Epoch 1/10
loss_teacher_BCE: 0.6563898921012878
cosine_similarity: 0.3725013732910156
cosine_penalty: 0.019253581762313843
loss_teacher: 0.4652490019798279
loss_student: 0.6577761769294739
loss_teacher_BCE: 0.6827702522277832
cosine_similarity: 0.3513638973236084
cosine_penalty: 0.015241528861224651
loss_teacher: 0.48251160979270935
loss_student: 0.7204223871231079
loss_teacher_BCE: 0.6890348792076111
cosine_similarity: 0.18674302101135254
cosine_penalty: 0.001216122996993363
loss_teacher: 0.4826892614364624
loss_student: 0.6465603709220886
loss_teacher_BCE: 0.6858863234519958
cosine_similarity: 0.16334255039691925
cosine_penalty: 0.000711864500772208
loss_teacher: 0.48033398389816284
loss_student: 0.7104256749153137
loss_teacher_BCE: 0.6856535077095032
cosine_similarity: 0.1677762120962143
cosine_penalty: 0.0007923581870272756
loss_teacher: 0.48019516468048096
loss_student: 0.6999782919883728
loss_teacher_BCE: 0.6983194947242737
cosine_similarity: 0.1676299273967743
cosine_penalty: 0.0007895983289927244
loss_teacher: 0.48906052112579346
loss_student: 0.6963986158370972
loss_teacher_BCE: 0.7345817685127258
cosine_similarity: 0.11802568286657333
cosine_penalty: 0.00019404661725275218
loss_teacher: 0.5142654776573181
loss_student: 0.7364626526832581
loss_teacher_BCE: 0.622516393661499
cosine_similarity: 0.0653088241815567
cosine_penalty: 1.8192293282481842e-05
loss_teacher: 0.43576693534851074
loss_student: 0.6618524789810181
loss_teacher_BCE: 0.7309602499008179
cosine_similarity: 0.07568808645009995
cosine_penalty: 3.281784665887244e-05
loss_teacher: 0.5116819739341736
loss_student: 0.6781702637672424
loss_teacher_BCE: 0.6674163937568665
cosine_similarity: 0.018266184255480766
cosine_penalty: 1.1132465260743629e-07
loss_teacher: 0.4671914875507355
loss_student: 0.649726927280426
loss_teacher_BCE: 0.7399582266807556
cosine_similarity: 0.027596794068813324
cosine_penalty: 5.800087592433556e-07
loss_teacher: 0.5179709196090698
loss_student: 0.7000278234481812
loss_teacher_BCE: 0.6882561445236206
cosine_similarity: 0.02288241870701313
cosine_penalty: 2.741622893154272e-07
loss_teacher: 0.48177939653396606
loss_student: 0.7162094712257385
loss_teacher_BCE: 0.6687327027320862
cosine_similarity: 0.03222396969795227
cosine_penalty: 1.0782417803056887e-06
loss_teacher: 0.4681132137775421
loss_student: 0.6790183782577515
loss_teacher_BCE: 0.7057955265045166
cosine_similarity: 0.04686220735311508
cosine_penalty: 4.822707978746621e-06
loss_teacher: 0.4940583109855652
loss_student: 0.7042886018753052
loss_teacher_BCE: 0.717400312423706
cosine_similarity: 0.05834684148430824
cosine_penalty: 1.1589625501073897e-05
loss_teacher: 0.5021836757659912
loss_student: 0.6809551119804382
loss_teacher_BCE: 0.6756964325904846
cosine_similarity: 0.008548167534172535
cosine_penalty: 5.339395592329765e-09
loss_teacher: 0.47298750281333923
loss_student: 0.6823963522911072
loss_teacher_BCE: 0.6852076053619385
cosine_similarity: 0.005144964903593063
cosine_penalty: 7.006960567323972e-10
loss_teacher: 0.479645311832428
loss_student: 0.7001349925994873
loss_teacher_BCE: 0.6625882387161255
cosine_similarity: 0.006281726062297821
cosine_penalty: 1.557098117110911e-09
loss_teacher: 0.4638117551803589
loss_student: 0.6623176336288452
loss_teacher_BCE: 0.6559274792671204
cosine_similarity: 0.02182936854660511
cosine_penalty: 2.2707257585352636e-07
loss_teacher: 0.4591493010520935
loss_student: 0.6542199850082397
loss_teacher_BCE: 0.6655626893043518
cosine_similarity: 0.12075944244861603
cosine_penalty: 0.00021265930263325572
loss_teacher: 0.4659576714038849
loss_student: 0.6876699924468994
loss_teacher_BCE: 0.6872022151947021
cosine_similarity: 0.15012644231319427
cosine_penalty: 0.0005079591064713895
loss_teacher: 0.4811939299106598
loss_student: 0.6694516539573669
loss_teacher_BCE: 0.6772331595420837
cosine_similarity: 0.07836917787790298
cosine_penalty: 3.7720823456766084e-05
loss_teacher: 0.4740745425224304
loss_student: 0.6912734508514404
loss_teacher_BCE: 0.6692664623260498
cosine_similarity: 0.13066130876541138
cosine_penalty: 0.0002914660726673901
loss_teacher: 0.4685739576816559
loss_student: 0.7056587934494019
loss_teacher_BCE: 0.6990334391593933
cosine_similarity: 0.1274441033601761
cosine_penalty: 0.0002638025616761297
